"FAOSTATCODE"	"ISO3"	"COUNTRY"	"FRANUMCODE"	"UNSDNUMCODE"	"FAOCOUNTRY"
222	"TUN"	"Tunisia"	54	788	"Tunisia"
223	"TUR"	"Turkey"	99	792	"Turkey"
224	"TCA"	"Turks and Caicos Islands"	7665808	796	"Turks and Caicos Islands"
225	"ARE"	"United Arab Emirates"	100	784	"United Arab Emirates"
226	"UGA"	"Uganda"	56	800	"Uganda"
227	"TUV"	"Tuvalu"	4921972	798	"Tuvalu"
229	"GBR"	"United Kingdom"	143	826	"United Kingdom"
230	"UKR"	"Ukraine"	169	804	"Ukraine"
231	"USA"	"United States"	200	842	"United States of America"
233	"BFA"	"Burkina Faso"	63	854	"Burkina Faso"
234	"URY"	"Uruguay"	217	858	"Uruguay"
235	"UZB"	"Uzbekistan"	170	860	"Uzbekistan"
236	"VEN"	"Venezuela, Bolivarian Republic of"	214	862	"Venezuela (Bolivarian Republic of)"
237	"VNM"	"Viet Nam"	79	704	"Viet Nam"
238	"ETH"	"Ethiopia"	60	231	"Ethiopia"
239	"VGB"	"Virgin Islands, British"	183	92	"British Virgin Islands"
240	"VIR"	"Virgin Islands, U.S."	202	850	"United States Virgin Islands"
243	"WLF"	"Wallis and Futuna"	4922016	876	"Wallis and Futuna Islands"
244	"WSM"	"Samoa"	119	882	"Samoa"
249	"YEM"	"Yemen"	101	887	"Yemen"
250	"COD"	"Congo, The Democratic Republic of the"	12	180	"Democratic Republic of the Congo"
251	"ZMB"	"Zambia"	20	894	"Zambia"
255	"BEL"	"Belgium"	130	56	"Belgium"
256	"LUX"	"Luxembourg"	131	442	"Luxembourg"
258	"AIA"	"Anguilla"	7656221	660	"Anguilla"
270	"MYT"	"Mayotte"	7661379	175	"Mayotte"
272	"SRB"	"Serbia"	155	688	"Serbia"
273	"MNE"	"Montenegro"	643000290	499	"Montenegro"
351	"CHN"	"China"	102	156	"China"
299	"PSE"	"Palestinian Territory, Occupied"	6008	275	"Occupied Palestinian Territory"
264	"IMN"	"Isle of Man"	7655849	833	"Isle of Man"
218	"TKL"	"Tokelau"	642354615	772	"Tokelau"
172	"PCN"	"Pitcairn"	7661984	612	"Pitcairn Islands"
205	"ESH"	"Western Sahara"	4054	732	"Western Sahara"
"NA"	"MAF"	"Saint Martin (French part)"	643000375	663	"NA"
"NA"	"JEY"	"Jersey"	643000371	832	"NA"
88	"GUM"	"Guam"	113	316	"Guam"
127	"MHL"	"Marshall Islands"	5293301	584	"Marshall Islands"
177	"PRI"	"Puerto Rico"	7665786	630	"Puerto Rico"
17	"BMU"	"Bermuda"	182	60	"Bermuda"
"NA"	"BLM"	"Saint Barthelemy"	643000373	652	"NA"
192	"SMR"	"San Marino"	7655310	674	"San Marino"
"NA"	"GGY"	"Guernsey"	643000370	831	"NA"
142	"MSR"	"Montserrat"	193	500	"Montserrat"
163	"MNP"	"Northern Mariana Islands"	5293394	580	"Northern Mariana Islands"
"NA"	"VAT"	"Holy See (Vatican City State)"	7657948	336	"NA"
"NA"	"SJM"	"Svalbard and Jan Mayen"	643000374	744	"NA"
"NA"	"MCO"	"Monaco"	7655168	492	"NA"
