"ISO3"	"COUNTRY"	"ANDIFF.00.10.rel"	"CROPAREADIF.00.10"	"MEADOWAREADIF.00.10"	"CATT.DIFF.00.10.rel"	"POPDIF.00.10.rel"	"RURPOPDIF.00.10.rel"	"URBPOPDIF.00.10.rel"	"AGRIPOPDIF.00.10.rel"	"BIOENDIFF.00.09.rel"	"FUELSHAREDIF.00.10"	"SOLIDFUELUSE.2010"	"FOREXSHAREDIF.00.10"	"ROAD.CHANGE.00.10.rel"	"GDPGROWTHAV.00.10"	"CPI2012"
"AZE"	"Azerbaijan"	0	21.169501506911	-0.262121684507107	36.5853658536586	13.2782640858094	11.5967660434563	14.9084778420039	-4.12654745529574	-100	1.82336182336182	7	-0.0195866254797622	1.21753302	16.1623010342	27
"BDI"	"Burundi"	-1.3131	1.43729787998563	-1.79662234998204	62.5	31.5186695952306	27.603899435608	74.9525616698292	29.2055267702936	NA	3.69084247756876	95	0.719376262526499	10.11856279	3.2393667909	19
"BEL"	"Belgium"	0.1574	24.5020964360587	2.35849056603773	-12.7853881278539	5.26729559748428	-5.78231292517007	5.59603319166161	-27.1739130434783	18.38	2.58553233134314	5	-0.0434209453280646	3.9e-07	1.7689989301	75
"BEN"	"Benin"	-0.9879	0.310779612857396	0	22.9166666666667	35.7778459650199	27.6188106494153	48.9591673338671	11.4586295137902	0.02	-1.0531772260253	91	14.556875193448	0	4.4037557434	36
"BFA"	"Burkina Faso"	-0.9587	0.0182481751824817	0	42.8571428571428	33.9596551163169	21.1683168316832	92.8441203281677	33.697856953876	NA	-0.961966641525976	92	NA	0	6.1535873076	38
"BGD"	"Bangladesh"	-0.1771	3.125	0	6.88259109311741	14.7385641088956	8.01648135244039	36.5117267999084	-5.10461075232507	-0.43	1.16622859398464	91	-0.504175555915638	-0.03152394	6.4338691935	26
"BGR"	"Bulgaria"	1.6356	25.2342342342342	-0.117117117117118	-8.33333333333333	-6.39520359730202	-14.0963855421687	-2.91878172588833	-50.9836065573771	-2.14	2.83355051352051	14	-0.00918723803436861	0.0406174	4.6605269162	41
"BHR"	"Bahrain"	4.1779	-0.281690140845071	0	0	97.8056426332288	94.5945945945946	98.2269503546099	14.2857142857143	NA	0	5	0.00606505421310542	0.5652979	6.4771045961	51
"BHS"	"Bahamas"	0	0	0	0	15.1006711409396	3.77358490566038	18.0327868852459	-27.2727272727273	NA	1.2523399430264	5	0.00225754273610235	0	1.0615715259	71
"BIH"	"Bosnia and Herzegovina"	0	10.0956844366335	0.0976371802382374	0	1.78668110449377	-7.86838340486409	14.4646211646838	-55.5	-12.45	12.6688773423828	45	0.5468251630301	0	4.6236001285	42
"BLM"	"Saint Barthelemy"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
