"ISO3"	"COUNTRY"	"FOREXVAL2000"	"TOTEXVAL2000"	"FOREXSHARE2000"	"FOREXVAL2010"	"TOTEXVAL2010"	"FOREXSHARE2010"	"FOREXSHAREDIF.00.10"
"GBR"	"United Kingdom"	46480000	282853609653	0.0164325284931032	79196000	405868895413	0.0195127049387247	0.00308017644562159
"GEO"	"Georgia"	15704000	322748680	4.86570541512362	304000	1583337030	0.0191999551731573	-4.84650545995046
"GHA"	"Ghana"	0	1670904448	0	112214000	5233390055	2.14419332059513	2.14419332059513
"GIB"	"Gibraltar"	0	126441011	0	0	258566744	0	0
"GIN"	"Guinea"	11982000	522362528	2.29380925271883	116826000	1.45e+09	8.05696551724138	5.76315626452255
"GMB"	"Gambia"	6000	16240459	0.036944768617685	564000	15033238	3.75168676235951	3.71474199374183
"GNB"	"Guinea-Bissau"	1796000	62456532	2.87559994525473	7954000	118070938	6.73662811080573	3.861028165551
"GNQ"	"Equatorial Guinea"	179932000	1097337645	16.3971409182814	175058000	9964035858	1.75689853483865	-14.6402423834427
"GRC"	"Greece"	1456000	10847422723	0.0134225431900318	6536000	21749990420	0.0300505879487187	0.0166280447586869
"GRL"	"Greenland"	4000	271329233	0.00147422375236656	4000	NA	NA	NA
"GTM"	"Guatemala"	0	2699354624	0	8120000	8460152695	0.0959793551338496	0.0959793551338496
"GUY"	"Guyana"	6818000	520408928	1.31012356498234	38004000	900754248	4.21913081002755	2.90900724504521
"HND"	"Honduras"	14980000	1075600512	1.39271038204935	1742000	2711960000	0.0642339857520022	-1.32847639629735
"HRV"	"Croatia"	51212000	4431597348	1.15561040361919	154762000	11810676241	1.3103568063508	0.15474640273161
"HTI"	"Haiti"	0	312657038	0	0	579174028	0	0
"HUN"	"Hungary"	119090000	28092242000	0.423924868652349	147480000	94748737000	0.155653789875848	-0.268271078776501
"IDN"	"Indonesia"	753444000	62124006936	1.21280650936794	16014000	157779103470	0.0101496330298549	-1.20265687633809
"IND"	"India"	1078000	42358096158	0.00254496801739849	3906000	220408495991	0.00177216399142776	-0.000772804025970734
"IRL"	"Ireland"	16696000	76261884998	0.0218929810093704	98434000	118337540301	0.0831807047447717	0.0612877237354013
"IRN"	"Iran"	0	2.8345e+10	0	310000	1.009e+11	0.000307234886025768	0.000307234886025768
"ISL"	"Iceland"	0	1900881302	0	2000	4603089478	4.34490793533082e-05	4.34490793533082e-05
"ISR"	"Israel"	10000	31407370000	3.18396605637467e-05	102000	58413028000	0.000174618579951034	0.000142778919387288
"ITA"	"Italy"	6698000	239931704039	0.00279162773707941	25594000	446839829715	0.00572777946324171	0.0029361517261623
"JAM"	"Jamaica"	4000	1307595904	0.000305904904394684	14000	1327601926	0.00105453296849164	0.000748628064096957
"JOR"	"Jordan"	0	1899157460	0	78000	7023137455	0.00111061474305147	0.00111061474305147
"JPN"	"Japan"	1516000	479275540084	0.000316310738439583	19892000	769773832480	0.0025841356461694	0.00226782490772982
"KAZ"	"Kazakhstan"	60582000	8679362200	0.698000597324997	10000	57244063938	1.74690602170224e-05	-0.69798312826478
"KEN"	"Kenya"	0	1733890609	0	926000	5169111916	0.0179141023651228	0.0179141023651228
"KGZ"	"Kyrgyzstan"	2000	504487282	0.000396442104956771	22000	1488400507	0.00147809678218552	0.00108165467722875
"KHM"	"Cambodia"	44000	1389454739	0.00316670984415564	12344000	5590104093	0.220818786101985	0.21765207625783
"KOR"	"Rep. of Korea"	0	172267495379	0	922000	466380619660	0.000197692605810283	0.000197692605810283
"KWT"	"Kuwait"	0	19399475513	0	1046000	66042424727	0.00158383040041891	0.00158383040041891
"LAO"	"Lao People's Dem. Rep."	137332000	330310000	41.5767006751234	220502000	1746370000	12.6263048494878	-28.9503958256356
"LBN"	"Lebanon"	0	714330944	0	1178000	5.021e+09	0.0234614618601872	0.0234614618601872
"LBR"	"Liberia"	4.25e+08	NA	NA	6676000	NA	NA	NA
"LBY"	"Libya"	0	10137493877	0	0	46016135400	0	0
"LKA"	"Sri Lanka"	728000	5337517843	0.0136392986667904	1276000	8304051802	0.0153659927758721	0.00172669410908171
"LTU"	"Lithuania"	80928000	3809411167	2.12442281634126	207308000	20813922632	0.996006392765571	-1.12841642357569
"LUX"	"Luxembourg"	22742000	7876174863	0.288744224138996	67472000	13911259203	0.485017200926351	0.196272976787355
"LVA"	"Latvia"	243762000	1869262976	13.0405407441184	655592000	8850801231	7.40714860597913	-5.63339213813926
"MAR"	"Morocco"	0	7431840768	0	646000	17764791264	0.0036364063635755	0.0036364063635755
"MDA"	"Rep. of Moldova"	18000	471532320	0.00381734172537738	1210000	1541486761	0.0784956465805158	0.0746783048551384
"MDG"	"Madagascar"	11154000	861932001	1.29406960027697	756000	1082167741	0.0698597797141321	-1.22420982056284
"MEX"	"Mexico"	1938000	166294339530	0.00116540346801785	10630000	298305075136	0.00356346602388635	0.0023980625558685
"MKD"	"TFYR of Macedonia"	388000	1322617046	0.0293357779694002	848000	3351429481	0.025302635929161	-0.00403314204023923
"MLI"	"Mali"	1716000	551815212	0.310973667032579	590000	2248050488	0.0262449621638569	-0.284728704868722
"MLT"	"Malta"	0	2437889024	0	0	3716753993	0	0
"MMR"	"Myanmar"	413440000	1646879064	25.1044541786706	1628390000	8748675240	18.6129894564471	-6.49146472222352
"MNE"	"Montenegro"	NA	NA	NA	3170000	436575412	0.726105940203522	NA
"MNG"	"Mongolia"	78000	535830000	0.0145568557191647	130000	2899200000	0.00448399558498896	-0.0100728601341757
"MOZ"	"Mozambique"	49636000	363962000	13.6376874508877	207858000	2243068881	9.26667931424973	-4.371008136638
"MRT"	"Mauritania"	2e+05	342806822	0.0583418961248093	206000	1798689090	0.0114527853171111	-0.0468891108076982
"MUS"	"Mauritius"	0	1489961728	0	1e+05	1849522324	0.00540680145907771	0.00540680145907771
"MWI"	"Malawi"	56000	379292364	0.0147643362522321	1590000	1066203666	0.149127230631751	0.134362894379519
"MYS"	"Malaysia"	1372890000	98229771679	1.39763126446674	1336100000	198790690678	0.672113968437389	-0.725517296029352
"NAM"	"Namibia"	56000	1326732160	0.00422089715530827	3158000	4096144636	0.0770968869664689	0.0728759898111607
"NCL"	"New Caledonia"	0	605716000	0	320000	1271850000	0.0251601997090852	0.0251601997090852
"NER"	"Niger"	260000	260834874	0.0996799224017874	12000	483502133	0.00248189184307073	-0.0971980305587167
"NGA"	"Nigeria"	3830000	27079246652	0.0141436726406018	37676000	86567912529	0.0435218996269301	0.0293782269863283
"NIC"	"Nicaragua"	1544000	629349056	0.245332853887684	1512000	1847628973	0.0818346119321219	-0.163498241955562
"NIU"	"Niue"	0	293390	0	0	NA	NA	NA
"NLD"	"Netherlands"	18850000	213424403533	0.00883216712239066	80990000	492645871626	0.0164398008112174	0.0076076336888267
"NOR"	"Norway"	41096000	59899117568	0.0686086901920485	126124000	130656792431	0.0965307640370907	0.0279220738450422
