"COUNTRY"	"COUNTRYCODE"	"TOTPOP.2010"	"POPDIF.00.10"	"POPDIF.00.10.rel"	"RURPOPDIF.00.10.rel"	"URBPOPDIF.00.10.rel"	"AGRIPOPDIF.00.10.rel"
"Dominican Republic"	56	9927	1335	15.5377094972067	-6.9364161849711	29.4627709707823	-23.4116022099447
"Ecuador"	58	14465	2120	17.1729445119482	-2.4484799020608	30.091348737238	-10.6575257089436
"Egypt"	59	81121	13473	19.9163315988647	18.6474403700545	21.6158336499603	-3.33532372259661
"El Salvador"	60	6193	253	4.25925925925926	-9.42236788201557	13.7714285714286	-14.6842105263158
"Equatorial Guinea"	61	700	180	34.6153846153846	32.7044025157233	37.6237623762376	24.6537396121884
"Eritrea"	178	5254	1586	43.2388222464558	36.604774535809	73.9263803680982	37.1196036801132
"Estonia"	63	1341	-30	-2.18818380743982	-2.38663484486873	-1.99789695057834	-23.7179487179487
"Ethiopia"	238	82950	17372	26.4905913568575	23.8715573315176	41.4389520008188	18.9057953555609
"Falkland Islands (Malvinas)"	65	3	0	0	0	0	NA
"Faroe Islands"	64	49	3	6.52173913043478	0	17.6470588235294	-50
"Fiji"	66	861	49	6.03448275862069	-2.12765957446809	14.6529562982005	-3.73831775700935
"Finland"	67	5365	192	3.71157935433984	-13.2321041214751	7.36124176857949	-32.4675324675325
"France"	68	62787	3739	6.33213656686086	-32.1190354027706	17.8878978086114	-35.6781376518219
"French Guiana"	69	231	66	40	34.1463414634146	41.9354838709677	7.14285714285714
"French Polynesia"	70	271	33	13.8655462184874	15.929203539823	12.0967741935484	-10.9756097560976
"Gabon"	74	1505	270	21.8623481781377	-14.2857142857143	30.8080808080808	-16.9527896995708
"Gambia"	75	1728	431	33.230531996916	9.54545454545455	57.7708006279435	28.0701754385965
"Georgia"	73	4352	-394	-8.30172777075432	-8.49644128113879	-8.08646917534027	-30.7286166842661
"Germany"	79	82302	-47	-0.0570741599776561	-2.9577528292529	1.01379424962606	-37.3184898354308
"Ghana"	81	24392	5227	27.2736759718236	10.203891630202	49.0384615384615	21.463595152188
"Gibraltar"	82	29	2	7.40740740740741	NA	7.40740740740741	0
"Greece"	84	11359	372	3.38581960498771	-0.926763110307414	6.29285387779979	-27.0342972427707
"Greenland"	85	57	1	1.78571428571429	-10	4.34782608695652	0
"Grenada"	86	104	2	1.96078431372549	-3.07692307692308	10.8108108108108	-12.5
"Guadeloupe"	87	461	34	7.96252927400468	0	7.85714285714286	-46.1538461538462
"Guam"	88	180	25	16.1290322580645	9.09090909090909	16.6666666666667	0
"Guatemala"	89	14389	3152	28.0501913322061	17.9370742783004	40.3273516071781	5.83406113537118
"Guinea"	90	9982	1638	19.6308724832215	12.1306916927355	36.2408336549595	13.8364779874214
"Guinea-Bissau"	175	1515	274	22.0789685737309	21.6743119266055	23.6413043478261	17.3828125
"Guyana"	91	754	21	2.86493860845839	3.05927342256214	2.85714285714286	-14.0625
